ra,nome,fase,turma,idade,genero,ano_ingresso,instituicao,iaa,ieg,ips,ipp,ida,ipv,ian,fase_ideal,defasagem,situacao,inde,pedra,ano,fase_num,anos_na_pm,risco_defasagem_atual,categoria_defasagem
RA-1457,Aluno-1457,2B,2B,12.0,Feminino,2024,Pública,3.498,8.0357142855,7.51,7.291666667,2.75,7.663333333,5.0,Fase 3 (7° e 8° ano),-1,Cursando,6.0197761904,Ágata,2024,2.0,0.0,1,Moderada (−1 fase)
RA-1458,Aluno-1458,2B,2B,12.0,Feminino,2024,Pública,8.751,7.280701754500001,7.51,6.041666667,3.25,5.213333333,5.0,Fase 3 (7° e 8° ano),-1,Cursando,5.879073684200001,Quartzo,2024,2.0,0.0,1,Moderada (−1 fase)
RA-1459,Aluno-1459,2C,2C,12.0,Masculino,2024,Pública,8.002,8.2976190475,7.51,7.5,3.75,7.273333333,5.0,Fase 3 (7° e 8° ano),-1,Cursando,6.665390476100001,Ágata,2024,2.0,0.0,1,Moderada (−1 fase)
RA-146,Aluno-146,4,H,15.0,Menina,2022,Escola Pública,8.3,9.2,7.5,,7.9,8.208,5.0,Fase 5 (1º EM),-1,,7.947,Ametista,2022,4.0,0.0,1,Moderada (−1 fase)
RA-146,Aluno-146,FASE 5,5C,,Feminino,2022,Pública,6.2,9.5,5.0,8.4375,7.9,8.2125,5.0,Fase 6 (2° EM),-1,,7.584483333,Ametista,2023,5.0,1.0,1,Moderada (−1 fase)
RA-146,Aluno-146,5D,5D,17.0,Feminino,2022,Pública,8.751,9.514316093333333,5.635,7.65625,9.333333333333334,8.304,5.0,Fase 7 (3° EM),-2,Cursando,8.134554885333333,Topázio,2024,5.0,2.0,1,Severa (≤ −2 fases)
RA-1460,Aluno-1460,2C,2C,12.0,Masculino,2024,Pública,9.502,7.460526316,7.51,6.875,3.25,6.27,10.0,Fase 2 (5° e 6° ano),0,Cursando,6.784805263200001,Ágata,2024,2.0,0.0,0,Adequada/adiantada (≥ 0)
RA-1461,Aluno-1461,2C,2C,12.0,Feminino,2024,Pública,10.002,9.273809524,7.51,7.5,2.75,7.33,5.0,Fase 3 (7° e 8° ano),-1,Cursando,6.871961904800001,Ágata,2024,2.0,0.0,1,Moderada (−1 fase)
RA-1462,Aluno-1462,2D,2D,13.0,Feminino,2024,Pública,8.502,10.0,7.51,8.125,6.5,7.053333333,5.0,Fase 3 (7° e 8° ano),-1,Cursando,7.6243666666,Ametista,2024,2.0,0.0,1,Moderada (−1 fase)
RA-1463,Aluno-1463,2D,2D,12.0,Masculino,2024,Pública,8.502,9.722222222,7.51,9.0625,10.0,8.113333333,10.0,Fase 2 (5° e 6° ano),0,Cursando,9.074561111000001,Topázio,2024,2.0,0.0,0,Adequada/adiantada (≥ 0)
RA-1464,Aluno-1464,2D,2D,13.0,Feminino,2024,Pública,8.002,7.794871795,7.51,9.0625,6.25,7.61,5.0,Fase 3 (7° e 8° ano),-1,Cursando,7.288424359,Ametista,2024,2.0,0.0,1,Moderada (−1 fase)
RA-1465,Aluno-1465,2D,2D,12.0,Masculino,2024,Pública,7.418,8.75,7.51,8.75,5.75,7.833333333,5.0,Fase 3 (7° e 8° ano),-1,Cursando,7.3344666666,Ametista,2024,2.0,0.0,1,Moderada (−1 fase)
RA-1466,Aluno-1466,2D,2D,12.0,Masculino,2024,Pública,10.002,7.380952381,7.51,8.75,7.5,8.056666667,10.0,Fase 2 (5° e 6° ano),0,Cursando,8.213723809600001,Topázio,2024,2.0,0.0,0,Adequada/adiantada (≥ 0)
RA-1467,Aluno-1467,2D,2D,12.0,Masculino,2024,Pública,9.002,9.022556391,7.51,8.75,9.25,8.28,10.0,Fase 2 (5° e 6° ano),0,Cursando,8.836711278200001,Topázio,2024,2.0,0.0,0,Adequada/adiantada (≥ 0)
RA-1468,Aluno-1468,2D,2D,12.0,Feminino,2024,Pública,8.502,8.972431078,7.51,8.4375,7.0,7.443333333,10.0,Fase 2 (5° e 6° ano),0,Cursando,8.1281028822,Topázio,2024,2.0,0.0,0,Adequada/adiantada (≥ 0)
RA-1469,Aluno-1469,2D,2D,13.0,Masculino,2024,Pública,8.502,9.4444444445,7.51,8.75,4.75,8.223333333,5.0,Fase 3 (7° e 8° ano),-1,Cursando,7.459755555500001,Ametista,2024,2.0,0.0,1,Moderada (−1 fase)
RA-147,Aluno-147,4,H,14.0,Menina,2022,Escola Pública,8.3,7.7,7.5,,6.1,7.25,10.0,Fase 4 (9º ano),0,,7.541,Ametista,2022,4.0,0.0,0,Adequada/adiantada (≥ 0)
RA-147,Aluno-147,FASE 4,4F,15.0,Feminino,2022,Pública,0.0,7.0,5.63,6.875,4.5,7.46,5.0,Fase 5 (1° EM),-1,,5.5425,Quartzo,2023,4.0,1.0,1,Moderada (−1 fase)
RA-147,Aluno-147,5F,5F,16.0,Feminino,2022,Pública,8.334,9.277056277,7.51,7.5,6.166666666666667,7.386666667,5.0,Fase 6 (2° EM),-1,Cursando,7.400477922133334,Ametista,2024,5.0,2.0,1,Moderada (−1 fase)
RA-1470,Aluno-1470,2G,2G,12.0,Feminino,2024,Pública,8.002,6.35610766,6.26,6.875,5.0,5.4125,5.0,Fase 3 (7° e 8° ano),-1,Cursando,5.967421532000001,Quartzo,2024,2.0,0.0,1,Moderada (−1 fase)
RA-1471,Aluno-1471,2G,2G,13.0,Masculino,2024,Pública,10.002,7.195652174,7.51,7.65625,7.5,7.2425,5.0,Fase 3 (7° e 8° ano),-1,Cursando,7.404455434800001,Ametista,2024,2.0,0.0,1,Moderada (−1 fase)
RA-1472,Aluno-1472,2G,2G,11.0,Masculino,2022,Pública,8.502,10.0,7.51,7.96875,8.75,8.1275,10.0,Fase 2 (5° e 6° ano),0,Cursando,8.773575000000001,Topázio,2024,2.0,2.0,0,Adequada/adiantada (≥ 0)
RA-1473,Aluno-1473,2G,2G,13.0,Masculino,2024,Pública,9.502,8.4368530025,5.625,6.5625,5.25,6.415,5.0,Fase 3 (7° e 8° ano),-1,Cursando,6.689320600500001,Ágata,2024,2.0,0.0,1,Moderada (−1 fase)
RA-1474,Aluno-1474,2H,2H,11.0,Feminino,2024,Pública,8.002,7.960662526,5.625,6.71875,7.5,6.2875,10.0,Fase 2 (5° e 6° ano),0,Cursando,7.384207505200001,Ametista,2024,2.0,0.0,0,Adequada/adiantada (≥ 0)
RA-1475,Aluno-1475,2I,2I,10.0,Feminino,2024,Pública,9.002,8.070175439,7.51,7.5,5.0,6.993333333,10.0,Fase 2 (5° e 6° ano),0,Cursando,7.413901754400001,Ametista,2024,2.0,0.0,0,Adequada/adiantada (≥ 0)
RA-1476,Aluno-1476,2K,2K,11.0,Feminino,2024,Pública,9.502,10.0,5.635,8.4375,8.5,8.7525,10.0,Fase 2 (5° e 6° ano),0,Cursando,8.80795,Topázio,2024,2.0,0.0,0,Adequada/adiantada (≥ 0)
RA-1477,Aluno-1477,2K,2K,11.0,Masculino,2024,Pública,8.002,8.010869565,7.51,6.40625,5.0,6.2875,10.0,Fase 2 (5° e 6° ano),0,Cursando,7.0514989130000005,Ametista,2024,2.0,0.0,0,Adequada/adiantada (≥ 0)
RA-1478,Aluno-1478,2K,2K,11.0,Masculino,2024,Pública,8.002,6.666666667,6.255,6.875,4.25,7.1225,10.0,Fase 2 (5° e 6° ano),0,Cursando,6.7210333334,Ágata,2024,2.0,0.0,0,Adequada/adiantada (≥ 0)
RA-1479,Aluno-1479,2K,2K,12.0,Masculino,2024,Pública,8.502,6.1965811965,7.51,7.1875,4.25,6.0325,10.0,Fase 2 (5° e 6° ano),0,Cursando,6.615766239300001,Ágata,2024,2.0,0.0,0,Adequada/adiantada (≥ 0)
RA-148,Aluno-148,4,H,14.0,Menino,2022,Escola Pública,9.2,7.9,10.0,,5.3,7.708,10.0,Fase 4 (9º ano),0,,7.894,Ametista,2022,4.0,0.0,0,Adequada/adiantada (≥ 0)
RA-1480,Aluno-1480,2K,2K,12.0,Masculino,2024,Pública,8.502,8.875,7.51,7.1875,5.5,6.9975,5.0,Fase 3 (7° e 8° ano),-1,Cursando,7.09445,Ametista,2024,2.0,0.0,1,Moderada (−1 fase)
RA-1481,Aluno-1481,2K,2K,12.0,Feminino,2024,Pública,8.502,8.782608695499999,7.51,6.875,4.75,6.8275,5.0,Fase 3 (7° e 8° ano),-1,Cursando,6.860721739100001,Ágata,2024,2.0,0.0,1,Moderada (−1 fase)
RA-1482,Aluno-1482,2K,2K,14.0,Masculino,2024,Pública,8.502,5.0,7.51,7.5,0.0,6.8725,5.0,Fase 3 (7° e 8° ano),-1,Cursando,5.2257,Quartzo,2024,2.0,0.0,1,Moderada (−1 fase)
RA-1483,Aluno-1483,2K,2K,11.0,Masculino,2024,Pública,9.502,7.913043478500001,7.51,5.78125,6.5,5.7475,10.0,Fase 2 (5° e 6° ano),0,Cursando,7.311433695700001,Ametista,2024,2.0,0.0,0,Adequada/adiantada (≥ 0)
RA-1484,Aluno-1484,2L,2L,14.0,Feminino,2024,Pública,9.002,10.0,6.26,7.5,7.0,7.89,5.0,Fase 3 (7° e 8° ano),-1,Cursando,7.754200000000001,Ametista,2024,2.0,0.0,1,Moderada (−1 fase)
RA-1485,Aluno-1485,2L,2L,13.0,Masculino,2024,Pública,9.002,7.7432712215,5.625,7.5,5.0,7.386666667,5.0,Fase 3 (7° e 8° ano),-1,Cursando,6.7386875776999995,Ágata,2024,2.0,0.0,1,Moderada (−1 fase)
RA-1486,Aluno-1486,2L,2L,11.0,Masculino,2024,Pública,8.002,5.431372549,6.26,7.916666667,5.75,7.056666667,10.0,Fase 2 (5° e 6° ano),0,Cursando,6.865474509900001,Ágata,2024,2.0,0.0,0,Adequada/adiantada (≥ 0)
RA-1487,Aluno-1487,2L,2L,13.0,Feminino,2024,Pública,10.002,9.5652173915,6.26,7.708333333,8.25,7.833333333,5.0,Fase 3 (7° e 8° ano),-1,Cursando,8.0267434782,Topázio,2024,2.0,0.0,1,Moderada (−1 fase)
RA-1488,Aluno-1488,2L,2L,11.0,Feminino,2024,Pública,8.002,7.111801242,7.51,7.5,3.5,6.716666667,10.0,Fase 2 (5° e 6° ano),0,Cursando,6.7668935818000016,Ágata,2024,2.0,0.0,0,Adequada/adiantada (≥ 0)
RA-1489,Aluno-1489,2L,2L,12.0,Masculino,2024,Pública,9.002,5.793478261000001,6.26,6.666666667,5.0,5.663333333,5.0,Fase 3 (7° e 8° ano),-1,Cursando,5.9842289855000015,Quartzo,2024,2.0,0.0,1,Moderada (−1 fase)
RA-149,Aluno-149,4,H,15.0,Menina,2022,Escola Pública,9.2,6.5,7.5,,5.0,6.125,5.0,Fase 5 (1º EM),-1,,6.323,Ágata,2022,4.0,0.0,1,Moderada (−1 fase)
RA-149,Aluno-149,FASE 4,4C,,Feminino,2022,Pública,8.8,4.2,2.52,7.5,4.7,7.2925,5.0,Fase 6 (2° EM),-2,,5.622266667,Quartzo,2023,4.0,1.0,1,Severa (≤ −2 fases)
